"ID","時間","類型","描述","模組","IP位址","結果","風險等級","使用者ID","使用者名稱","使用者信箱","詳細資料"
"257","2025-08-26 11:07:27","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"258","2025-08-26 11:07:27","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"255","2025-08-26 11:07:16","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"256","2025-08-26 11:07:16","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"253","2025-08-26 11:07:11","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"254","2025-08-26 11:07:11","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"251","2025-08-26 11:07:07","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"252","2025-08-26 11:07:07","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"249","2025-08-26 11:07:04","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"250","2025-08-26 11:07:04","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"247","2025-08-26 11:06:59","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"248","2025-08-26 11:06:59","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"245","2025-08-26 11:06:50","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"246","2025-08-26 11:06:50","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"242","2025-08-26 11:06:49","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"243","2025-08-26 11:06:49","view_activity_logs","執行操作: view_activity_logs","","172.19.0.1","成功","極低","","系統","",""
"244","2025-08-26 11:06:49","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"239","2025-08-26 11:06:46","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"240","2025-08-26 11:06:46","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"241","2025-08-26 11:06:46","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"236","2025-08-26 11:06:45","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"237","2025-08-26 11:06:45","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"238","2025-08-26 11:06:45","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"234","2025-08-26 11:06:44","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"235","2025-08-26 11:06:44","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"232","2025-08-26 11:06:42","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"233","2025-08-26 11:06:42","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
